date,region,utilization_rate
2023-05-26,PADD 1,89.6
2023-05-26,PADD 4,87.7
2023-05-26,PADD 2,91
2023-06-02,PADD 4,91.3
2023-06-02,PADD 5,93.1
2023-06-02,PADD 3,98.8
2023-06-02,PADD 2,92.3
2023-06-02,PADD 1,91.8
2023-06-09,PADD 2,92.9
2023-06-09,PADD 3,95.7
2023-06-09,PADD 5,89.7
2023-06-09,PADD 4,89.3
2023-06-09,PADD 1,89
2023-06-16,PADD 2,95.3
2023-06-16,PADD 5,95.6
2023-06-16,PADD 1,79.9
2023-06-16,PADD 3,92.7
2023-06-16,PADD 4,92.4
2023-06-23,PADD 1,77.2
2023-06-23,PADD 3,91.1
2023-06-23,PADD 2,97.1
2023-06-23,PADD 4,93.5
2023-06-23,PADD 5,93.5
2023-06-30,PADD 2,94.8
2023-06-30,PADD 1,76.3
2023-06-30,PADD 5,91.7
2023-06-30,PADD 4,91.5
2023-06-30,PADD 3,90.7
2023-07-07,PADD 2,98.6
2023-07-07,PADD 4,89.3
2023-07-07,PADD 1,71.8
2023-07-07,PADD 3,93.1
2023-07-07,PADD 5,96.7
2023-07-14,PADD 1,78.8
2023-07-14,PADD 5,92.3
2023-07-14,PADD 4,86.7
2023-07-14,PADD 2,98.8
2023-07-14,PADD 3,94.8
2023-07-21,PADD 5,90.9
2023-07-21,PADD 4,93.1
2023-07-21,PADD 2,97.7
2023-07-21,PADD 1,81.7
2023-07-21,PADD 3,93.3
2023-07-28,PADD 4,87.7
2023-07-28,PADD 5,87.6
2023-07-28,PADD 2,91.8
2023-07-28,PADD 1,91.2
2023-07-28,PADD 3,94.8
2023-08-04,PADD 2,95.4
2023-08-04,PADD 4,91.3
2023-08-04,PADD 5,90.5
2023-08-04,PADD 1,88.9
2023-08-04,PADD 3,94.6
2023-08-11,PADD 1,91.9
2023-08-11,PADD 5,91.6
2023-08-11,PADD 3,94.3
2023-08-11,PADD 4,96.1
2023-08-11,PADD 2,98
2023-08-18,PADD 1,92.8
2023-08-18,PADD 3,93.9
2023-08-18,PADD 5,90.3
2023-08-18,PADD 4,93
2023-08-18,PADD 2,98.9
2023-08-25,PADD 1,88.5
2023-08-25,PADD 5,86
2023-08-25,PADD 4,98.4
2023-08-25,PADD 2,100.7
2023-08-25,PADD 3,92.2
2023-09-01,PADD 2,100.6
2023-09-01,PADD 3,90.5
2023-09-01,PADD 5,90.2
2023-09-01,PADD 4,97.6
2023-09-01,PADD 1,92.9
2023-09-08,PADD 1,92.2
2023-09-08,PADD 2,98.6
2023-09-08,PADD 4,95.7
2023-09-08,PADD 5,92
2023-09-08,PADD 3,92.1
2023-09-15,PADD 4,97.2
2023-09-15,PADD 2,90.4
2023-09-15,PADD 1,90
2023-09-15,PADD 5,93.1
2023-09-15,PADD 3,92.1
2023-09-22,PADD 2,87.1
2023-09-22,PADD 3,92.2
2023-09-22,PADD 5,88
2023-09-22,PADD 1,71.8
2023-09-22,PADD 4,94.3
2023-09-29,PADD 3,87
2023-09-29,PADD 1,68.2
2023-09-29,PADD 5,92.6
2023-09-29,PADD 4,98.3
2023-09-29,PADD 2,87.1
2023-10-06,PADD 3,86.2
2023-10-06,PADD 4,95.4
2023-10-06,PADD 5,85.9
2023-10-06,PADD 1,71.1
2023-10-06,PADD 2,85.9
2023-10-13,PADD 4,98.4
2023-10-13,PADD 5,84.4
2023-10-13,PADD 2,85.8
2023-10-13,PADD 3,87.3
2023-10-13,PADD 1,69.9
2023-10-20,PADD 3,86.1
2023-10-20,PADD 5,85
2023-10-20,PADD 4,98.8
2023-10-20,PADD 2,85.7
2023-10-20,PADD 1,70.5
2023-10-27,PADD 4,96.6
2023-10-27,PADD 1,71.5
2023-10-27,PADD 2,87.1
2023-10-27,PADD 3,86.5
2023-10-27,PADD 5,80.4
2023-11-03,PADD 3,85.4
2023-11-03,PADD 4,96.2
2023-11-03,PADD 1,68.3
2023-11-03,PADD 5,81
2023-11-03,PADD 2,89.1
2023-11-10,PADD 3,87.2
2023-11-10,PADD 1,75.6
2023-11-10,PADD 2,86.9
2023-11-10,PADD 5,82.8
2023-11-10,PADD 4,92.3
2023-11-17,PADD 3,88.3
2023-11-17,PADD 5,79.7
2023-11-17,PADD 2,88
2023-11-17,PADD 4,92.4
2023-11-17,PADD 1,86.2
2023-11-24,PADD 2,92.6
2023-11-24,PADD 5,81.8
2023-11-24,PADD 3,90.9
2023-11-24,PADD 4,90.4
2023-11-24,PADD 1,88.1
2023-12-01,PADD 3,91.3
2023-12-01,PADD 4,87.9
2023-12-01,PADD 2,91.7
2023-12-01,PADD 5,85.4
2023-12-01,PADD 1,92.5
2023-12-08,PADD 3,90.4
2023-12-08,PADD 1,91.5
2023-12-08,PADD 2,93.6
2023-12-08,PADD 5,83.3
2023-12-08,PADD 4,89.8
2023-12-15,PADD 2,96
2023-12-15,PADD 5,85.8
2023-12-15,PADD 1,92.2
2023-12-15,PADD 4,90.9
2023-12-15,PADD 3,92.7
2023-12-22,PADD 4,81.8
2023-12-22,PADD 5,86.9
2023-12-22,PADD 3,92.5
2023-12-22,PADD 2,101.7
2023-12-22,PADD 1,90.6
2023-12-29,PADD 5,88.4
2023-12-29,PADD 2,95.1
2023-12-29,PADD 1,92.4
2023-12-29,PADD 3,94.5
2023-12-29,PADD 4,89.7
